unit,n,capacity_distance_median,feature_nn_distance_median,recent_rate_shift,ridge_r2,ridge_rmse,plain_r2,plain_rmse,pp_r2,pp_rmse,jacobian_r2,jacobian_rmse,latent_r2,latent_rmse,latent_rmse_gain_vs_plain
c35,193,3.804509401321411,3.042702410182019,5.991607666015625,-0.5820413426238784,70.07607528610973,0.27020957292761405,47.59484725926417,-0.5974584855633873,70.41669645182706,0.5640281916552097,36.78663470748893,-0.3991793048665284,65.90184035598479,-18.306993096720618
c36,166,11.313973426818848,33.52786078271993,21.60313606262207,-2.964071856287425,95.40702280230738,0.4195596502014708,36.50802861323619,-2.6448374936961048,91.48474241587873,-1.2876586733969546,72.47783267170561,-2.198839525393391,85.70493136444702,-49.19690275121083
c37,275,7.554782867431641,6.875656787940802,9.600707054138184,-1.8211813297479629,133.33823435186048,-0.5254667564531601,98.04841405738195,-0.5121528155060184,97.61960378591448,-0.15920324813950004,85.47104111788465,0.6189574548826297,49.003368448808374,49.045045608573574
c38,229,4.122584342956543,4.949469205764599,4.2654595375061035,-1.9620508193641206,113.77241353079053,-0.058464869187636825,68.01096586838017,0.3779917682572608,52.136129245617866,-0.12896406071059285,70.23939738711667,0.5754139824112579,43.074829040436164,24.936136827944004
c39,121,3.248612880706787,3.062471022659863,8.91386890411377,-2.000976670019073,60.507780800681076,-0.5311036030199774,43.21974543752395,-2.3098505920810566,63.545398907701326,-4.184395388477096,79.52963204958299,-4.84880521300696,84.47213954830606,-41.25239411078211
c40,178,3.357431173324585,3.4155016820334234,5.719522953033447,-1.295986419396558,80.03158340327849,0.5358559377446062,35.98347911174642,-0.40384582212482867,62.580129692727084,0.17278306568271007,48.03817060099613,-0.3687267328840633,61.79240900898315,-25.80892989723673
c41,254,11.458231925964355,17.85693895722542,15.200750350952148,-2.8869768809171337,144.55919014725677,-0.2699252409083386,82.62829767357825,-1.5561562234415987,117.22855836475127,-0.238168432036993,81.58862073070536,0.272004479545194,62.5610575106044,20.067240162973846
c42,239,9.468498229980469,15.416527045940766,14.09805679321289,-2.5329186844349247,129.67919238609656,-0.06407537634315719,71.16880490350691,-1.1516774464939235,101.202690899556,0.09490574818505404,65.63725038908274,0.5545941719324585,46.04488833303321,25.123916570473703
c43,316,11.522661209106445,16.79229520609669,13.394876480102539,-2.5736618591147904,172.44516155914306,-0.8850700356515813,125.24431737274837,-1.2623834436595738,137.20735487047415,-0.7214979910227441,119.68715535845111,-0.01539533279344485,91.92039171482817,33.3239256579202
c44,264,7.2715654373168945,7.317786522753152,10.25993824005127,-1.9089582264869787,129.98071767093313,-0.39217458291225893,89.92015326391423,-0.45621715233300564,91.9651448610871,-0.03828167893506218,77.65470666856966,0.7005062162898141,41.706533516626024,48.213619747288206
